title,artist,first
.44 Magnum Blues,John A.J. Kane,1988-01-03
.com Blues,Paul Evans,2000-05-28
'35 Depression,Daddy Stovepipe & Mississippi Sarah,1983-01-16
'81 Poop Hatch,Captain Beefheart,1982-11-07
'81 Poop Hatch,Captain Beefheart & The Magic Band,1982-11-07
'Bout A Spoonful,Mance Lipcomb,1972-09-17
'Cause I Like The Name,The Dores (Barnes & Barnes),1991-06-23
'Cause I Love You,Lord Sutch & Heavy Friends,2014-02-08
'Cause I'm A Blonde,Julie Brown,1989-11-05
'Cause It's French,Tony Goldmark (f/ Kyle Kallgren),2016-05-28
'Cause That's The Way I Am,Chance Langton,1986-01-05
'S-All Right? 'S-All Right!,Senor Wences,2016-06-25
'Tain't No Sin,Lee Morse,1993-07-25
'Tain't No Sin (To Take Off Your Skin And Dance Around In Your Bones),Lee Morse & Her Blue Grass Boys,1999-08-01
'Tain't Nobody's Bizness,Taj Mahal,1996-10-13
1980 G.O.P. Theme Song,?,1988-02-26
Angels In Houston,?,1975-10-19
Applesauce And Peanut Butter,?,1975-06-15
Army Song,?,1976-03-28
Balen I Karlstad,?,2018-10-13
Balkan(?) folk instrumental,?,1971-11-23
Bowling On The Green,?,1975-06-22
Brother Can You Spare A Dime,?,1980-01-06
Brownie Smile Song,?,1974-05-12
Captain Jinks,?,1976-03-28
Cocaine,?,1976-03-28
"Come On, Little Leaguer",?,1975-08-31
Cripple Creek,?,1970-11-13
Dr. Demento Song,?,1973-02-04
Evel Knievel,?,1974-09-08
Famous Rear Concerto,?,1976-04-25
Happy Birthday To You,?,1978-04-02
Indian music,?,1971-11-23
introduction,?,1971-11-23
Jingle Bells,?,1977-05-29
"Jingle Bells, Batman Smells",?,2019-12-07
"Jingle Bells/Good King Wenceslas/God Rest Ye Merry, Gentlemen",?,1977-06-05
La Cucaracha,?,1976-05-23
Last Train To San Fernando (?),?,1981-04-19
Liberty Bell March,?,1980-10-12
March Of The Little Rascals,?,1975-06-15
Marihuana Boogie/La Cucarache/Nation's Nightmare,?,1974-09-15
Mary Had A Little Lamb,?,1977-01-09
My Blue Heaven,?,1973-06-03
Mysterious Room,?,1974-12-15
Oklahoma City Blues,?,1975-10-19
Riders In The Sky,?,1974-03-10
"Rudolph, The Red-Nosed Reindeer",?,1977-05-29
Santa Claus Is Comin' To Town,?,1977-05-29
Shakin' The African,?,1976-03-28
Show Me A Rose,?,1974-09-15
Shut Up And Drink Your Beer,?,1974-09-15
Snowflakes,?,2017-01-28
Stars And Stripes Forever,?,1975-07-27
Sunday,?,1980-10-05
Sweet Georgia Brown,?,1976-03-28
The Farting Pig Song,?,2012-02-04
The smartest man in East Megalopolis,?,1971-11-23
The Whistler And His Dog,?,2016-08-20
These Yuleish Things,?,1974-12-15
This Is The Army,?,1976-03-28
"To make the mind and the heart free of limitations, free of corruption is happiness, liberation, and truth",?,1971-11-23
USC Fight Song,?,1975-04-13
percussion,? [during above and continuing after],1971-11-23
electronic music,? [during above],1971-11-23
1930s-ish guitar blues instrumental,? [including below 2 items during],1971-11-23
R&B instrumental,? [including below 3 items during],1971-11-23
Ciribiribin,? [not on aircheck],1972-07-30
poem,? [played in middle of above],1971-11-23
salad recipe,? [speeds up],1971-07-11
96 Tears,? & The Mysterians,1971-06-06
I Wonder Who's Boogieing My Woogie Now,? w/ Sam Theard on vocal,1974-03-10
Beer Barrel Polka,?? [started too fast],1973-09-09
I Feel Like An Onion Ring,?Syntax Error,1998-05-17
U.S.C.  Fight On,'24 Trojan Yell/Harold Grayson & Trojans/Larry Clinton/Tommy Walker & The Trojans,1976-11-21
Radio Mama,'Lasses & Honey,1986-10-05
Voices Carry,'til tuesday,1985-06-09
Up with Papal,(Anonymous),1993-10-10
Jingle Booty (Santa's Got Gas),(DJ Eggo),1999-12-05
"Ay, Mi Palomita",(duo laraya tehran),1993-11-16
Music Business Lament,(I'm not allowed to tell you),1977-01-09
Elevator To Menswear,(K97),2011-08-06
Dr. Kevorkian Unplugged,(Laetrile Records),1993-04-25
Butter,& Barnes,2024-01-27
Guppy Stomp,& Barnes,2023-11-11
Hip As A Bip,& Barnes,2023-11-11
Let's Grease Up And Wrestle,& Barnes,2024-11-02
Take Me To My Mommy,& Barnes,2025-05-10
Dweebs From Mars,&pi;r<sup>2</sup> & The Pythagoreans,1993-06-27
Heinz 57 And Cocaine,&Uuml;berband,2010-08-21
I Am An Attorney,&Uuml;berband,2010-11-06
Tonight We're Going To Drink Alcohol At A Party We Will Attend To Get Drunk,&Uuml;berband,2010-08-21
Humboldt County Weed Commercial,1 Mann Banned,2000-09-24
Rubber Bullets,10 C.C.,1978-07-16
Clockwork Creep,10cc,1982-05-16
The Hospital Song,10cc,2021-06-26
The Sacro-Iliac,10cc,2015-06-13
Just Say No,17 Inch Crash,1989-07-09
Bring Back Howdy Doody,1910 Fruitgum Co.,2025-03-08
Goody Goody Gumdrops,1910 Fruitgum Co.,1987-01-18
Pow Wow,1910 Fruitgum Co.,1992-06-21
Minnie's Yoo Hoo,1930 cartoon soundtrack,2012-09-15
Let's Get Behind Herbert Hoover,1932 Hoover campaign rally,2012-10-13
We're Gonna Win The Series,1969 New York Mets,1986-10-05
The Year In Dementia,1979:,2020-03-07
Funky Ramen Noodles,2 Guys Variety Hour,2010-11-06
Stalker Song,2 Guys Variety Hour,2010-11-06
S.I.M.P. (Squirrels In My Pants),2 Guyz N The Parque (from Phineas And Ferb),2022-11-12
Yakety Yak,2 Live Crew,1989-03-26
As Kosher As They Wanna Be,2 Live Jews,1990-10-21
Happy Chanukah,2 Live Jews,2014-12-13
If I Were A Rich Man,2 Live Jews,1991-06-02
Oi! It's So Humid,2 Live Jews,1992-07-12
Oui! It's So Humid,2 Live Jews,1999-08-22
Shake Your Tuchas,2 Live Jews,1991-05-26
Get Ready For This,2 Unlimited,1995-04-09
I Loot L.A.,2 White Crew,1992-05-31
Count 'Em Up Queek,2nu,1991-04-21
D.D.S. Blues,2nu,1991-05-19
Her Name,2nu,1991-05-12
